Name,ABV,IBU,OG,EBC,PH,AttenuationLevel,FermentationTempCelsius,Yeast
#Mashtag 2013,7.5,50,1070,40,4.4,81.4,21,Wyeast 1272 - American Ale II
#Mashtag 2014,9,50,1084,20,4.4,82.1,21,Wyeast 1272 - American Ale II
#Mashtag 2015,10,85,1098,130,4.4,79.6,21,Wyeast 1272 - American Ale II
10 Heads High,7.8,70,1074,90,4.4,79.7,18,Wyeast 1272 - American Ale II
5am Saint,5,30,1050,60,4.4,76,19,Wyeast 1056 - American Ale
77 Lager,4.9,30,1047,12,4.4,80.7,10,Wyeast 2007 - Pilsen Lager
AB:02,18,70,1150,57,4.4,93.3,22,Wyeast 1272 - American Ale II
AB:03,10.5,14,1093,,4.4,80,19,Wyeast 1056 - American Ale
AB:04,15,80,1113,400,4,84.1,21,Wyeast 1272 - American Ale II
AB:06,11.2,150,1098,70,4.4,87,17,Wyeast 1272 - American Ale II
AB:08,10.43,65,1095,23,4.4,83.2,21,Wyeast 1272 - American Ale II
AB:10,11.5,80,1096,115,4.4,79.2,20,Wyeast 1272 - American Ale II
AB:11,12.8,70,1108,79,4.4,81.5,18,Wyeast 1272 - American Ale II
AB:13,11.3,50,1098,164,4.4,79.6,20,Wyeast 1272 - American Ale II
AB:15,12.8,50,1096,111,4.4,79.17,21,Wyeast 1272 - American Ale II
AB:17,10.7,100,1105,300,4.3,76.2,21,Wyeast 1272 - American Ale II
AB:18,11.8,80,1096,115,5.2,79.2,20,Wyeast 1272 - American Ale II
AB:20,14.2,20,1025,67,4,75.6,21,Wyeast 1272 - American Ale II
Ace Of Chinook,4.5,40,1045,18,4.2,75.6,19,Wyeast 1056 - American Ale
Ace Of Citra,4.5,40,1045,18,4.2,75.6,19,Wyeast 1056 - American Ale
Ace Of Equinox,4.5,40,1045,18,4.2,75.6,19,Wyeast 1056 - American Ale
Ace Of Simcoe,4.5,40,1045,18,4.2,75.6,19,Wyeast 1056 - American Ale
Albino Squid Assasin,7.4,65,1069,60,4.2,82.6,18,Wyeast 1056 - American Ale
Alice Porter,5.2,55,1053,165,5.2,75.5,19,Wyeast 1056 - American Ale
All Day Long - Prototype Challenge,2.8,30,1032.5,42,4.4,63.1,22,Wyeast 1056 - American Ale
Alpha Dog,4.5,42,1046,62,4.4,72.8,22,Wyeast 1056 - American Ale
Alpha Pop,4.5,30,1045,25,4.4,75.6,19,Wyeast 1056 - American Ale
Amarillo - IPA Is Dead,7.2,70,1067,30,4.4,82.1,19,Wyeast 1056 - American Ale
American Ale,6.3,55,1060,30,4.4,80,19,Wyeast 1272 - American Ale II
